Category,Descript,Resolution,Latitude,Longitude,Time,type
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.76355846,-122.4771724,1900-01-01 18:00:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.76592453,-122.4664427,1900-01-01 18:00:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",NONE,37.78263557,-122.4191576,1900-01-01 18:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78874808,-122.4194862,1900-01-01 18:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.75448601,-122.4020775,1900-01-01 18:00:00,1.0
OTHER OFFENSES,PROBATION VIOLATION,"ARREST, BOOKED",37.76422056,-122.4196583,1900-01-01 17:37:00,1.0
WARRANTS,PROBATION SEARCH,"ARREST, BOOKED",37.76422056,-122.4196583,1900-01-01 17:37:00,1.0
NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED","ARREST, BOOKED",37.76422056,-122.4196583,1900-01-01 17:37:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.80582429,-122.4119531,1900-01-01 17:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77542071,-122.4034048,1900-01-01 17:30:00,1.0
OTHER OFFENSES,FALSE PERSONATION,NONE,37.7559475,-122.4233674,1900-01-01 17:25:00,1.0
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,NONE,37.78782711,-122.4083843,1900-01-01 17:18:00,1.0
SUSPICIOUS OCC,INVESTIGATIVE DETENTION,NONE,37.78782711,-122.4083843,1900-01-01 17:18:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",NONE,37.76413015,-122.4641737,1900-01-01 17:15:00,1.0
ASSAULT,BATTERY,NONE,37.72964281,-122.3923586,1900-01-01 17:10:00,1.0
NON-CRIMINAL,FOUND PROPERTY,NONE,37.77160786,-122.4287294,1900-01-01 17:09:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77213581,-122.4532991,1900-01-01 17:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,NONE,37.77213581,-122.4532991,1900-01-01 17:00:00,1.0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,NONE,37.71969203,-122.4386951,1900-01-01 17:00:00,1.0
NON-CRIMINAL,"AIDED CASE, SICK PERSON",NONE,37.7633124,-122.4582208,1900-01-01 16:48:00,1.0
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,"ARREST, BOOKED",37.7690748,-122.4133542,1900-01-01 16:44:00,1.0
WEAPON LAWS,CARRYING A CONCEALED WEAPON,"ARREST, BOOKED",37.7690748,-122.4133542,1900-01-01 16:44:00,1.0
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,"ARREST, BOOKED",37.7690748,-122.4133542,1900-01-01 16:44:00,1.0
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,"ARREST, BOOKED",37.7690748,-122.4133542,1900-01-01 16:44:00,1.0
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,"ARREST, BOOKED",37.78656476,-122.4072441,1900-01-01 16:30:00,1.0
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,"ARREST, BOOKED",37.73017602,-122.3994437,1900-01-01 16:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77542071,-122.4034048,1900-01-01 16:30:00,1.0
NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING",NONE,37.77141103,-122.4161853,1900-01-01 16:28:00,1.0
NON-CRIMINAL,FOUND PROPERTY,NONE,37.8080501,-122.4098773,1900-01-01 16:18:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.72561551,-122.4599222,1900-01-01 16:10:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",NONE,37.76121422,-122.4160709,1900-01-01 16:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.76412591,-122.4025712,1900-01-01 16:00:00,1.0
MISSING PERSON,MISSING ADULT,NONE,37.78660195,-122.4198122,1900-01-01 16:00:00,1.0
MISSING PERSON,FOUND PERSON,NONE,37.78660195,-122.4198122,1900-01-01 16:00:00,1.0
OTHER OFFENSES,HARASSING PHONE CALLS,NONE,37.78864663,-122.4127185,1900-01-01 16:00:00,1.0
BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",NONE,37.77192289,-122.4465189,1900-01-01 16:00:00,1.0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",NONE,37.75442429,-122.4097418,1900-01-01 16:00:00,1.0
VEHICLE THEFT,STOLEN TRUCK,NONE,37.78186219,-122.4138696,1900-01-01 15:50:00,1.0
NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,NONE,37.74372682,-122.4811832,1900-01-01 15:49:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77542071,-122.4034048,1900-01-01 15:30:00,1.0
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,"ARREST, BOOKED",37.76267028,-122.4351877,1900-01-01 15:30:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.7803327,-122.479384,1900-01-01 15:30:00,1.0
SUSPICIOUS OCC,SUSPICIOUS PERSON,NONE,37.78393203,-122.4125974,1900-01-01 15:27:00,1.0
DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,"ARREST, BOOKED",37.71100233,-122.4205298,1900-01-01 15:15:00,1.0
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,"ARREST, BOOKED",37.71100233,-122.4205298,1900-01-01 15:15:00,1.0
OTHER OFFENSES,PAROLE VIOLATION,"ARREST, BOOKED",37.71100233,-122.4205298,1900-01-01 15:15:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.75341009,-122.4120411,1900-01-01 15:00:00,1.0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,NONE,37.78630869,-122.4164521,1900-01-01 15:00:00,1.0
NON-CRIMINAL,FOUND PROPERTY,NONE,37.77707419,-122.4169911,1900-01-01 15:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.77958458,-122.41677,1900-01-01 15:00:00,1.0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,NONE,37.77542071,-122.4034048,1900-01-01 15:00:00,1.0
NON-CRIMINAL,"AIDED CASE, SICK PERSON",NONE,37.78520719,-122.4066906,1900-01-01 14:43:00,1.0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED","ARREST, BOOKED",37.73246503,-122.4012703,1900-01-01 14:40:00,1.0
VEHICLE THEFT,STOLEN AUTOMOBILE,NONE,37.78245421,-122.3913122,1900-01-01 14:40:00,1.0
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,"ARREST, BOOKED",37.78090397,-122.4119795,1900-01-01 14:38:00,1.0
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,"ARREST, BOOKED",37.78090397,-122.4119795,1900-01-01 14:38:00,1.0
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,"ARREST, BOOKED",37.78650281,-122.4299801,1900-01-01 14:36:00,1.0
BURGLARY,"BURGLARY, FORCIBLE ENTRY","ARREST, BOOKED",37.78329172,-122.4071886,1900-01-01 14:36:00,1.0
NON-CRIMINAL,FOUND PROPERTY,"ARREST, BOOKED",37.78329172,-122.4071886,1900-01-01 14:36:00,1.0
STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING","ARREST, BOOKED",37.78329172,-122.4071886,1900-01-01 14:36:00,1.0
OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS W/PRIORS,"ARREST, BOOKED",37.78329172,-122.4071886,1900-01-01 14:36:00,1.0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED","ARREST, BOOKED",37.78714881,-122.4098766,1900-01-01 14:27:00,1.0
OTHER OFFENSES,RESISTING ARREST,JUVENILE BOOKED,37.736274,-122.3794179,1900-01-01 14:16:00,1.0
WARRANTS,WARRANT ARREST,JUVENILE BOOKED,37.736274,-122.3794179,1900-01-01 14:16:00,1.0
FRAUD,"CREDIT CARD, THEFT BY USE OF",NONE,37.78646724,-122.4156546,1900-01-01 14:16:00,1.0
OTHER OFFENSES,FALSE PERSONATION,JUVENILE BOOKED,37.736274,-122.3794179,1900-01-01 14:16:00,1.0
ROBBERY,ROBBERY ON THE STREET WITH A GUN,NONE,37.74943604,-122.4115952,1900-01-01 14:15:00,1.0
NON-CRIMINAL,AIDED CASE,UNFOUNDED,37.72493073,-122.4447071,1900-01-01 14:11:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",PSYCHOPATHIC CASE,37.7841915,-122.4769794,1900-01-01 14:05:00,1.0
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,NONE,37.80744512,-122.4105247,1900-01-01 14:00:00,1.0
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,"ARREST, BOOKED",37.7657517,-122.4214581,1900-01-01 14:00:00,1.0
WARRANTS,WARRANT ARREST,"ARREST, BOOKED",37.7657517,-122.4214581,1900-01-01 14:00:00,1.0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED","ARREST, BOOKED",37.77871926,-122.4147438,1900-01-01 14:00:00,1.0
MISSING PERSON,MISSING ADULT,NONE,37.77451454,-122.4528398,1900-01-01 14:00:00,1.0
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,NONE,37.78351007,-122.4053955,1900-01-01 14:00:00,1.0
VEHICLE THEFT,STOLEN MOTORCYCLE,NONE,37.77122226,-122.4294423,1900-01-01 14:00:00,1.0
STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING","ARREST, BOOKED",37.7657517,-122.4214581,1900-01-01 14:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78165428,-122.4155082,1900-01-01 13:55:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.7123588,-122.4127414,1900-01-01 13:35:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.78237104,-122.4480431,1900-01-01 13:33:00,1.0
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,JUVENILE BOOKED,37.72852806,-122.4756475,1900-01-01 13:30:00,1.0
TRESPASS,TRESPASSING,JUVENILE BOOKED,37.72852806,-122.4756475,1900-01-01 13:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,NONE,37.78464803,-122.3998994,1900-01-01 13:30:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.76334643,-122.4199883,1900-01-01 13:30:00,1.0
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,"ARREST, BOOKED",37.72852806,-122.4756475,1900-01-01 13:22:00,1.0
ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS,"ARREST, BOOKED",37.72852806,-122.4756475,1900-01-01 13:22:00,1.0
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP","ARREST, BOOKED",37.72852806,-122.4756475,1900-01-01 13:22:00,1.0
NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,NONE,37.77934721,-122.440666,1900-01-01 13:15:00,1.0
NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING","ARREST, BOOKED",37.78520719,-122.4066906,1900-01-01 13:10:00,1.0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",NONE,37.80186256,-122.4280252,1900-01-01 13:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.80286277,-122.4206668,1900-01-01 13:00:00,1.0
LARCENY/THEFT,GRAND THEFT BICYCLE,NONE,37.76724422,-122.5102257,1900-01-01 13:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,NONE,37.80286277,-122.4206668,1900-01-01 13:00:00,1.0
LARCENY/THEFT,GRAND THEFT FROM PERSON,NONE,37.78418935,-122.4076335,1900-01-01 13:00:00,1.0
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,NONE,37.74811081,-122.4027568,1900-01-01 13:00:00,1.0
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,UNFOUNDED,37.78509432,-122.4078454,1900-01-01 13:00:00,1.0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,NONE,37.77542071,-122.4034048,1900-01-01 12:50:00,1.0
FRAUD,"CREDIT CARD, THEFT BY USE OF",NONE,37.77542071,-122.4034048,1900-01-01 12:50:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.72794231,-122.3877793,1900-01-01 12:48:00,1.0
ASSAULT,BATTERY,"ARREST, BOOKED",37.73017602,-122.3994437,1900-01-01 12:45:00,1.0
FRAUD,FALSE ID TO PEACE OFFICER,"ARREST, BOOKED",37.73017602,-122.3994437,1900-01-01 12:45:00,1.0
NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING","ARREST, BOOKED",37.78506294,-122.406521,1900-01-01 12:45:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.77883232,-122.4156425,1900-01-01 12:40:00,1.0
ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,"ARREST, BOOKED",37.77005272,-122.4461437,1900-01-01 12:37:00,1.0
ASSAULT,THREATS AGAINST LIFE,"ARREST, BOOKED",37.77005272,-122.4461437,1900-01-01 12:37:00,1.0
OTHER OFFENSES,RESISTING ARREST,"ARREST, BOOKED",37.77005272,-122.4461437,1900-01-01 12:37:00,1.0
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,"ARREST, BOOKED",37.77005272,-122.4461437,1900-01-01 12:37:00,1.0
WARRANTS,WARRANT ARREST,"ARREST, BOOKED",37.77005272,-122.4461437,1900-01-01 12:37:00,1.0
ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,"ARREST, BOOKED",37.77005272,-122.4461437,1900-01-01 12:37:00,1.0
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,"ARREST, BOOKED",37.78509432,-122.4078454,1900-01-01 12:36:00,1.0
NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING",NONE,37.76511073,-122.432198,1900-01-01 12:34:00,1.0
NON-CRIMINAL,LOST PROPERTY,NONE,37.79494059,-122.4080832,1900-01-01 12:30:00,1.0
ASSAULT,THREATS AGAINST LIFE,"ARREST, BOOKED",37.80463488,-122.4142668,1900-01-01 12:30:00,1.0
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP","ARREST, BOOKED",37.80463488,-122.4142668,1900-01-01 12:30:00,1.0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",NONE,37.7349303,-122.3824529,1900-01-01 12:22:00,1.0
